source_id,corruption,severity,seed,package_version,parameters,num_samples,sample_rate,rms,peak,same_seed_identical,seed_change_changes_waveform,params_unchanged_across_seeds
1272-128104-0000,additive_noise,mild,7,0.1.0,"{""snr_db"": 20.0}",93680,16000,0.062268998473882675,0.38280776143074036,True,True,True
1272-128104-0000,additive_noise,medium,7,0.1.0,"{""snr_db"": 10.0}",93680,16000,0.06502783298492432,0.3895077705383301,True,True,True
1272-128104-0000,additive_noise,severe,7,0.1.0,"{""snr_db"": 0.0}",93680,16000,0.08774986863136292,0.4821777939796448,True,True,True
1272-128104-0000,clipping,mild,7,0.1.0,"{""threshold"": 0.6}",93680,16000,0.0619380809366703,0.387939453125,True,False,True
1272-128104-0000,clipping,medium,7,0.1.0,"{""threshold"": 0.35}",93680,16000,0.06192723289132118,0.3499999940395355,True,False,True
1272-128104-0000,clipping,severe,7,0.1.0,"{""threshold"": 0.15}",93680,16000,0.05666755139827728,0.15000000596046448,True,False,True
1272-128104-0000,bandwidth,mild,7,0.1.0,"{""cutoff_hz"": 4000.0}",93680,16000,0.05851063132286072,0.38156241178512573,True,False,True
1272-128104-0000,bandwidth,medium,7,0.1.0,"{""cutoff_hz"": 3400.0}",93680,16000,0.058162059634923935,0.3786807656288147,True,False,True
1272-128104-0000,bandwidth,severe,7,0.1.0,"{""cutoff_hz"": 2000.0}",93680,16000,0.057962700724601746,0.37928882241249084,True,False,True
1272-128104-0000,dropout,mild,7,0.1.0,"{""n_spans"": 1.0, ""span_ms"": 50.0}",93680,16000,0.06193805858492851,0.387939453125,True,True,True
1272-128104-0000,dropout,medium,7,0.1.0,"{""n_spans"": 2.0, ""span_ms"": 100.0}",93680,16000,0.0611574724316597,0.387939453125,True,True,True
1272-128104-0000,dropout,severe,7,0.1.0,"{""n_spans"": 3.0, ""span_ms"": 250.0}",93680,16000,0.05718574300408363,0.387939453125,True,True,True
1272-128104-0000,reverberation,mild,7,0.1.0,"{""rt60_s"": 0.15}",93680,16000,0.10981407016515732,1.0,True,True,True
1272-128104-0000,reverberation,medium,7,0.1.0,"{""rt60_s"": 0.4}",93680,16000,0.10295146703720093,1.0,True,True,True
1272-128104-0000,reverberation,severe,7,0.1.0,"{""rt60_s"": 0.8}",93680,16000,0.1170952245593071,1.0,True,True,True
