clip_id,speaker_id,corruption,severity,seed,clean_rms_db,corrupted_rms_db,clean_peak_dbfs,corrupted_peak_dbfs,snr_db,log_mel_distance
1272-128104-0000,spk_1272,additive_noise,mild,26446,-24.1608,-24.1148,-8.2247,-8.0225,20.0,9.811247
1272-128104-0000,spk_1272,additive_noise,medium,29708,-24.1608,-23.7508,-8.2247,-7.5121,10.0,15.966006
1272-128104-0000,spk_1272,additive_noise,severe,26998,-24.1608,-21.1528,-8.2247,-6.4196,0.0,23.482866
1272-128104-0000,spk_1272,clipping,mild,28999,-24.1608,-24.1608,-8.2247,-8.2247,100.0,0.0
1272-128104-0000,spk_1272,clipping,medium,34133,-24.1608,-24.1624,-8.2247,-9.1186,49.3684,0.052584
1272-128104-0000,spk_1272,clipping,severe,29551,-24.1608,-24.9333,-8.2247,-16.4782,14.7799,1.984864
1272-128104-0000,spk_1272,bandwidth,mild,34062,-24.1608,-24.6553,-8.2247,-8.3687,10.1312,10.623137
1272-128104-0000,spk_1272,bandwidth,medium,29196,-24.1608,-24.7072,-8.2247,-8.4345,9.3775,13.157748
1272-128104-0000,spk_1272,bandwidth,severe,24614,-24.1608,-24.737,-8.2247,-8.4206,9.119,20.955236
1272-128104-0000,spk_1272,dropout,mild,25534,-24.1608,-24.1797,-8.2247,-8.2247,23.6353,0.317415
1272-128104-0000,spk_1272,dropout,medium,32284,-24.1608,-24.2568,-8.2247,-8.2247,16.6056,1.261674
1272-128104-0000,spk_1272,dropout,severe,27702,-24.1608,-24.6411,-8.2247,-8.2247,9.8006,6.67981
1272-128104-0000,spk_1272,reverberation,mild,25289,-24.1608,-17.306,-8.2247,0.0,-6.6205,6.230454
1272-128104-0000,spk_1272,reverberation,medium,26935,-24.1608,-16.5835,-8.2247,0.0,-8.6304,8.661265
1272-128104-0000,spk_1272,reverberation,severe,25841,-24.1608,-17.3683,-8.2247,0.0,-7.6481,11.350909
1272-128104-0001,spk_1272,additive_noise,mild,99529,-21.8247,-21.783,-4.2033,-4.1891,20.0,10.627558
1272-128104-0001,spk_1272,additive_noise,medium,102791,-21.8247,-21.3952,-4.2033,-3.9357,10.0,17.161589
1272-128104-0001,spk_1272,additive_noise,severe,100081,-21.8247,-18.7961,-4.2033,-2.0836,0.0,24.684448
1272-128104-0001,spk_1272,clipping,mild,102082,-21.8247,-21.8251,-4.2033,-4.437,59.5767,0.004066
1272-128104-0001,spk_1272,clipping,medium,107216,-21.8247,-21.9976,-4.2033,-9.1186,22.8888,0.274621
1272-128104-0001,spk_1272,clipping,severe,102634,-21.8247,-23.8624,-4.2033,-16.4782,9.0289,3.462545
1272-128104-0001,spk_1272,bandwidth,mild,107145,-21.8247,-22.3114,-4.2033,-4.0868,9.8333,10.030592
1272-128104-0001,spk_1272,bandwidth,medium,102279,-21.8247,-22.3222,-4.2033,-4.0963,9.6925,12.313884
